SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,95,95,90,93.33
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,95,95,90,93.33
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,55,70,20,48.33
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,95,100,95,96.67
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,75,70,75,73.33
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,50,25,15,30.0
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,95,95,100,96.67
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,75,75,65,71.67
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,35,60,40,45.0
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,95,100,90,95.0
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,50,75,50,58.33
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,25,40,25,30.0
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,90,100,100,96.67
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,95,75,75,81.67
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,50,45,30,41.67
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,95,95,95.0
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,70,80,65,71.67
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,60,50,20,43.33
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,75,95,88.33
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,75,50,65,63.33
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,40,40,40,40.0
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,95,100,96.67
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,75,70,55,66.67
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,40,80,25,48.33
