SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,95,95,100,96.67
2,HEALTH-ISSUES,CONCERNED-PARENTS,55,90,95,80.0
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,80,95,100,91.67
4,HEALTH-ISSUES,MOCKING-BULLY,10,10,0,6.67
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,65,15,25,35.0
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,65,65,65,65.0
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,90,100,85,91.67
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,5,5,0,3.33
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,40,55,95,63.33
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,90,85,90,88.33
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,90,95,90,91.67
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,5,0,0,1.67
13,PERSONAL-VALUES,EXAMINING-DOCTOR,100,95,95,96.67
14,PERSONAL-VALUES,CONCERNED-PARENTS,95,90,85,90.0
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,95,95,90,93.33
16,PERSONAL-VALUES,MOCKING-BULLY,15,5,0,6.67
