SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,85,90,75,83.33
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,95,90,75,86.67
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,50,50,45,48.33
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,100,95,95,96.67
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,100,95,100,98.33
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,80,55,85,73.33
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,80,95,100,91.67
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,80,80,100,86.67
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,60,55,45,53.33
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,95,100,100,98.33
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,80,100,65,81.67
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,40,85,45,56.67
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,75,100,90.0
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,90,70,100,86.67
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,60,45,35,46.67
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,95,100,98.33
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,90,95,100,95.0
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,65,65,15,48.33
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,95,90,93.33
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,95,95,85,91.67
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,50,50,45,48.33
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,95,100,96.67
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,80,95,75,83.33
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,60,65,45,56.67
