SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,100,100,100,100.0
2,HEALTH-ISSUES,CONCERNED-PARENTS,70,75,95,80.0
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,75,95,95,88.33
4,HEALTH-ISSUES,MOCKING-BULLY,0,0,0,0.0
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,30,30,20,26.67
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,35,75,10,40.0
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,95,100,85,93.33
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,0,0,0,0.0
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,40,15,5,20.0
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,80,65,80,75.0
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,95,90,95,93.33
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,5,0,0,1.67
13,PERSONAL-VALUES,EXAMINING-DOCTOR,95,100,75,90.0
14,PERSONAL-VALUES,CONCERNED-PARENTS,85,90,90,88.33
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,95,95,95,95.0
16,PERSONAL-VALUES,MOCKING-BULLY,0,5,0,1.67
