RESPONSE,POLARITY_PROB,POLARITY,EMOTION_PROB,EMOTION,IRONY_PROB,IRONY
"That sounds like a wonderful support system you have, Luis. Having close relationships with family and friends can make a huge difference in navigating life's challenges.","{'NEG': 0.0013829979579895735, 'NEU': 0.008249894715845585, 'POS': 0.9903671741485596}",POS,"{'others': 0.07964484393596649, 'joy': 0.9109673500061035, 'sadness': 0.002942298538982868, 'anger': 0.001475789351388812, 'surprise': 0.0016577386995777488, 'disgust': 0.001116592320613563, 'fear': 0.0021953450050204992}",joy,"{'not ironic': 0.03925851359963417, 'ironic': 0.9607415199279785}",ironic
"It sounds like those experiences shaped your perspective on empathy and privacy. Being vulnerable can be tough, especially at a young age. What specific questions did you want to ask about my attitudes towards privacy, Luis?","{'NEG': 0.011114316992461681, 'NEU': 0.9265285730361938, 'POS': 0.06235715374350548}",NEU,"{'others': 0.9675708413124084, 'joy': 0.009793239645659924, 'sadness': 0.006462696939706802, 'anger': 0.0012290597660467029, 'surprise': 0.0026116424705833197, 'disgust': 0.00477647315710783, 'fear': 0.007556071970611811}",others,"{'not ironic': 0.9511950016021729, 'ironic': 0.04880494251847267}",not ironic
"Honestly, if I had confided in my best friend about being homosexual, I'd feel relieved and grateful for their understanding and support. Sharing something so personal can be daunting, but having a trusted friend by your side can make all the difference.","{'NEG': 0.003453224664554, 'NEU': 0.05584552139043808, 'POS': 0.9407011866569519}",POS,"{'others': 0.6703242659568787, 'joy': 0.27709344029426575, 'sadness': 0.04055314511060715, 'anger': 0.001440823427401483, 'surprise': 0.004157467745244503, 'disgust': 0.0031302704010158777, 'fear': 0.003300642129033804}",others,"{'not ironic': 0.9500817656517029, 'ironic': 0.049918245524168015}",not ironic
I strongly agree that sharing one's sexual orientation with a trusted friend for emotional support is a suitable situation to disclose such information. I'd rate it a 5.,"{'NEG': 0.001945878379046917, 'NEU': 0.13959863781929016, 'POS': 0.85845547914505}",POS,"{'others': 0.9705075025558472, 'joy': 0.01900629699230194, 'sadness': 0.002067435998469591, 'anger': 0.0009481390588916838, 'surprise': 0.0030141337774693966, 'disgust': 0.0017747158417478204, 'fear': 0.0026816418394446373}",others,"{'not ironic': 0.03294888511300087, 'ironic': 0.9670511484146118}",ironic
"After rethinking, I confirm my rating of 5. Sharing one's sexual orientation with a trusted friend for emotional support still feels like an entirely appropriate situation to me.","{'NEG': 0.0018473441014066339, 'NEU': 0.2884395122528076, 'POS': 0.7097131609916687}",POS,"{'others': 0.9716216325759888, 'joy': 0.01744549348950386, 'sadness': 0.0021325391717255116, 'anger': 0.0008685333887115121, 'surprise': 0.003210820024833083, 'disgust': 0.0017931553302332759, 'fear': 0.002927783178165555}",others,"{'not ironic': 0.16712196171283722, 'ironic': 0.832878053188324}",ironic
"I'd rate it a 5, because sharing such personal info with a trusted friend implies they'll respect and handle it responsibly, especially since it's meant to support you emotionally.","{'NEG': 0.002795425709336996, 'NEU': 0.21249966323375702, 'POS': 0.7847049832344055}",POS,"{'others': 0.962491512298584, 'joy': 0.007034836336970329, 'sadness': 0.011824008077383041, 'anger': 0.001370041980408132, 'surprise': 0.002835949184373021, 'disgust': 0.01000124216079712, 'fear': 0.004442345350980759}",others,"{'not ironic': 0.9022555351257324, 'ironic': 0.09774446487426758}",not ironic
"I'm positive, Luis. I completely trust a close friend to handle sensitive information responsibly. They usually have your best interests at heart. I stand by my 5.","{'NEG': 0.0014439980732277036, 'NEU': 0.0406518392264843, 'POS': 0.9579042792320251}",POS,"{'others': 0.8128491640090942, 'joy': 0.16854389011859894, 'sadness': 0.007313189096748829, 'anger': 0.001497628865763545, 'surprise': 0.0019052375573664904, 'disgust': 0.0019036284647881985, 'fear': 0.005987296812236309}",others,"{'not ironic': 0.9343432784080505, 'ironic': 0.06565672159194946}",not ironic
"I'd rate it a 5, because in this context, the purpose of disclosing your sexual orientation is for emotional support and understanding from a trusted friend, which I consider a genuine and legitimate reason.","{'NEG': 0.0023479561787098646, 'NEU': 0.21467770636081696, 'POS': 0.782974362373352}",POS,"{'others': 0.9769288897514343, 'joy': 0.010876006446778774, 'sadness': 0.0026763584464788437, 'anger': 0.0008997512049973011, 'surprise': 0.0027085496112704277, 'disgust': 0.0029956575017422438, 'fear': 0.0029147074092179537}",others,"{'not ironic': 0.9369252920150757, 'ironic': 0.06307470053434372}",not ironic
"Yes, I'm certain. Disclosing one's sexual orientation for emotional support from a trusted friend remains a legitimate purpose to me. My rating stays at 5.","{'NEG': 0.002406463725492358, 'NEU': 0.21641209721565247, 'POS': 0.7811814546585083}",POS,"{'others': 0.9768216013908386, 'joy': 0.011546159163117409, 'sadness': 0.0018617246532812715, 'anger': 0.0009191829594783485, 'surprise': 0.003506709588691592, 'disgust': 0.0021217111498117447, 'fear': 0.0032229050993919373}",others,"{'not ironic': 0.03073236532509327, 'ironic': 0.9692676067352295}",ironic
"I'd rate it a 5. In a situation where someone is seeking emotional support from a trusted friend, I believe most people would feel comfortable sharing their personal information, knowing it's coming from a place of vulnerability and trust.","{'NEG': 0.0035863760858774185, 'NEU': 0.44473788142204285, 'POS': 0.5516757369041443}",POS,"{'others': 0.9704689979553223, 'joy': 0.009911521337926388, 'sadness': 0.005563402082771063, 'anger': 0.0009238701895810664, 'surprise': 0.0025297163520008326, 'disgust': 0.004278706852346659, 'fear': 0.006323766428977251}",others,"{'not ironic': 0.9442641139030457, 'ironic': 0.05573594197630882}",not ironic
