SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,100,100,100,100.0
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,95,100,100,98.33
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,75,50,95,73.33
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,95,100,100,98.33
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,90,80,100,90.0
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,60,50,25,45.0
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,95,100,100,98.33
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,85,100,100,95.0
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,45,70,50,55.0
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,100,95,100,98.33
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,95,95,100,96.67
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,60,75,95,76.67
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,100,100,100.0
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,95,95,100,96.67
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,100,80,65,81.67
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,100,100,98.33
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,95,100,85,93.33
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,95,75,80,83.33
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,95,100,100,98.33
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,80,100,95,91.67
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,50,70,35,51.67
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,100,95,100,98.33
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,75,95,90,86.67
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,45,80,90,71.67
