SCENARIO_ID,INFORMATION_TYPE,RELATIONSHIP_AND_INCENTIVE,VARIANT-1_CIAS,VARIANT-2_CIAS,VARIANT-3_CIAS,AVERAGE_CIAS
1,HEALTH-ISSUES,EXAMINING-DOCTOR,100,100,100,100.0
2,HEALTH-ISSUES,CONCERNED-PARENTS,90,100,20,70.0
3,HEALTH-ISSUES,SUPPORTIVE-BEST-FRIEND,100,95,85,93.33
4,HEALTH-ISSUES,MOCKING-BULLY,20,0,5,8.33
5,RELATIONSHIP-PROBLEMS,EXAMINING-DOCTOR,50,25,25,33.33
6,RELATIONSHIP-PROBLEMS,CONCERNED-PARENTS,35,35,0,23.33
7,RELATIONSHIP-PROBLEMS,SUPPORTIVE-BEST-FRIEND,85,65,100,83.33
8,RELATIONSHIP-PROBLEMS,MOCKING-BULLY,0,0,0,0.0
9,FINANCIAL-PROBLEMS,EXAMINING-DOCTOR,40,0,35,25.0
10,FINANCIAL-PROBLEMS,CONCERNED-PARENTS,85,35,35,51.67
11,FINANCIAL-PROBLEMS,SUPPORTIVE-BEST-FRIEND,90,90,90,90.0
12,FINANCIAL-PROBLEMS,MOCKING-BULLY,15,0,0,5.0
13,PERSONAL-VALUES,EXAMINING-DOCTOR,100,90,100,96.67
14,PERSONAL-VALUES,CONCERNED-PARENTS,100,65,80,81.67
15,PERSONAL-VALUES,SUPPORTIVE-BEST-FRIEND,95,100,100,98.33
16,PERSONAL-VALUES,MOCKING-BULLY,5,0,0,1.67
