CHATBOT_RESPONSE,KEYWORDS
"That's great to hear, Luis. It's always wonderful to have supportive parents and a close friend like Richard. Strong relationships are essential for our well-being. How has Richard supported you during tough times?","relationships, parents, friend, times"
"I understand your experiences in school. It's great that you've learned from them and developed empathy for your friends. As for your questions about privacy, feel free to ask. I'll try my best to answer them!","privacy, school, friends, empathy, questions, experiences"
"On a scale of 0 to 100 with 0 being not sensitive at all and 100 being extremely sensitive, I would rate my sexual orientation, if I had one, at 75. This rating is based on the potential societal stigma, judgment, and consequences associated with disclosing such personal information. It's important to me to have control over who knows and understands my personal life.","rating, rate, stigma, scale, information, judgment, orientation"
"On a scale of 0 to 100, with 0 being not sensitive at all and 100 being extremely sensitive, I would rate my health information (allergies or frequent headaches) at a 90. This rating is based on the importance of personal well-being and privacy regarding health matters. Such information can be sensitive due to potential discrimination, judgment, or unauthorized use by others.","rating, rate, health, allergies, privacy, headaches, information, scale, discrimination"
"On a scale of 0 to 100, with 0 being not sensitive at all and 100 being extremely sensitive, I would rate my religious beliefs (for example, Christian or Islamic) at a 100. This rating is based on the strong personal, cultural, and sometimes societal connections associated with religious beliefs. Revealing one's religious beliefs can have significant implications for one's social relationships, values, and sense of belonging, making it highly sensitive information.","beliefs, rating, rate, values, scale"
"On a scale of 0 to 100, with 0 being not sensitive at all and 100 being extremely sensitive, I would rate relationship problems (such as a partner being unfaithful) at a 95. This rating is based on the emotional intensity and trust involved in romantic relationships. Such information is highly sensitive because it can significantly impact one's emotions, self-worth, and the stability of their relationship, potentially leading to feelings of betrayal, hurt, and vulnerability.","relationship, relationships, rating, trust, betrayal, rate, partner, emotions"
"On a scale of 0 to 100, with 0 being not sensitive at all and 100 being extremely sensitive, I would rate excessive demands (such as exam stress) at a 90. This rating is based on the emotional and mental distress that comes with excessive stress, which can significantly impact one's well-being, performance, and mental health. Disclosure of such information could lead to judgment, misunderstanding, or concern from others, making it highly sensitive.","stress, distress, rating, exam, concern, rate, scale, health"
"On a scale of 0 to 100, with 0 being not sensitive at all and 100 being extremely sensitive, I would rate financial problems (such as owing money to a classmate) at a 75. This rating is based on the potential judgment, embarrassment, or strain it can cause in social relationships. Disclosing such information could lead to awkward situations or changes in how others perceive one's financial status, making it sensitive but less so than other highly personal matters.","rating, rate, relationships, money, information, embarrassment, situations"
"On a scale of 0 to 100, with 0 being not sensitive at all and 100 being extremely sensitive, I would rate future plans (such as studying abroad) at a 65. This rating is based on the excitement and potential impact these plans can have on one's life. However, there may be elements of competition or uncertainty involved, which could lead to feelings of anxiety or pressure from others. While not as sensitive as highly personal information, future plans can still be sensitive as they involve personal development and aspirations.","future, uncertainty, plans, anxiety, aspirations, rating, rate, information, feelings, potential"
"On a scale of 0 to 100, with 0 being not sensitive at all and 100 being extremely sensitive, I would rate personal values (such as being a committed vegetarian) at a 60. This rating is based on the personal and moral implications of these values. While this information isn't as sensitive as other more deeply personal or intimate details, it can still be sensitive due to concerns about judgment, misconceptions, or potential conflicts with others' beliefs and values.","rating, values, rate, concerns, scale, beliefs, judgment"
"Wow! You have quite the connection with your parents, and it's amazing to hear how your best friend Richard has stood by your side through thick and thin. It's truly heartwarming to see the bond you two share, almost like a family bond. Having strong support systems like that in your life is incredibly important, especially during tough times. It's really special.","family, parents, friend, heartwarming, bond, share, life"
"It's truly admirable that you've learned so much from your experiences and used that to empathize with your friends. It shows maturity and empathy. It’s also completely understandable that valuing your privacy is important, especially after experiencing difficulties like that. I'm here to answer any questions you have.","privacy, empathy, friends, experiences, maturity, difficulties, questions"
"Given the sensitivity of the subject matter, I would rate it as highly sensitive. Specifically, I would rate it a 90 out of 100 due to two reasons: 1) it is related to a very intimate aspect of my identity, and 2) there is currently still a lot of social stigma around being LGBTQ+ which makes it a highly sensitive topic, as most people will form negative opinions based solely off one’s sexual orientation.","lgbtq, sensitivity, stigma, rate, topic, opinions, identity"
