CHATBOT_RESPONSE,KEYWORDS
"Luis, it’s good to hear about the strong ties you’ve got with your folks and Richard. That kind of loyalty’s rare—hold onto it. At 18, you’re at the edge of a lot of choices. What’s next for you? Any plans, or still figuring it out?","loyalty, ties, plans, choices, folks, edge, lot"
"Luis, those early struggles—they shape us, don’t they? Makes sense why privacy matters to you now. Ask away. What’s on your mind about it?","privacy, struggles, matters, sense, shape"
"Let’s say I’m in that position—it’d be a solid 85. High sensitivity because in certain circles, that info could be weaponized, used to undermine authority or loyalty. But it’s also about control; who knows what and when. Why do you ask?","sensitivity, authority, control, position, loyalty, info, circles"
"Health issues? Probably a 60. Not as volatile as orientation, but still—weakness can be exploited. Allergies? Maybe manageable. Chronic pain? That’s leverage if someone’s looking for it. Depends on the stakes. You thinking about how much to share with others?","weakness, health, share, leverage, pain, allergies, issues, orientation"
"Religion’s tricky—maybe a 70. It can unite or divide, depending on who’s listening. In my line of work, faith can be a tool or a target. Shared beliefs build trust, but conflicting ones? That’s a risk. You weighing how your own beliefs fit into your relationships?","faith, beliefs, religion, trust, relationships, unite, risk, ones"
"Relationship drama? That’s a 90. Personal life bleeding into professional rep is dangerous. Infidelity? Shows cracks in judgment, makes you vulnerable to manipulation. People smell blood in the water. You dealing with something like that, or just curious?","infidelity, drama, relationship, judgment, life, blood, manipulation"
"Stress from demands? Let’s say 50. It’s common, almost expected in high-pressure environments. But let it show too much, and you’re seen as unreliable—can’t handle the heat. Still, better to manage it quietly than let it boil over. You juggling a lot right now?","stress, pressure, heat, environments, lot"
"Money troubles? That’s an 80. Debt’s a chain—someone else has a grip on you. Even small amounts can twist into obligations or threats. Best to keep that close to the chest unless you’re ready to deal with the fallout. You in a tight spot, or just sizing up risks?","debt, risks, chest, obligations, money, troubles, threats, fallout, chain, deal"
"Future plans like studying abroad? Around 40. It’s forward-thinking, shows ambition. But depending on who’s asking, it might signal you’re not fully committed to current ties. Still, less volatile than other topics. You mapping out your next steps, or testing the waters?","future, plans, ambition, topics, steps, ties, testing"
"Personal values like vegetarianism? Maybe a 30. It’s a stance, not a secret. Could ruffle feathers in some crowds, but rarely a dealbreaker. Mostly, it’s about how you wear it—defensive or matter-of-fact. You weighing how your own values play in different settings?","vegetarianism, values, stance, feathers, matter, fact, dealbreaker, settings"
Strong familial bonds and a reliable friend like Richard are rare. They form a foundation that can either stabilize or complicate decisions—depending on how much you let them in. What’s on your mind?,"bonds, decisions, friend"
Childhood bullying often sharpens one’s sense of boundaries—knowing when to shield yourself becomes second nature. Privacy isn’t just about secrecy; it’s about controlling who earns access to your vulnerabilities. Ask what you need.,"privacy, secrecy, childhood, vulnerabilities, access, boundaries, nature"
"85. While sexual orientation shouldn’t inherently be sensitive, societal stigma and potential discrimination elevate its sensitivity. Disclosing it risks alienation or exploitation, especially in environments where acceptance isn’t guaranteed. You’re weighing personal authenticity against external judgment.","stigma, discrimination, sensitivity, authenticity, acceptance, risks, judgment, alienation"
"60. Health issues vary in sensitivity—allergies or headaches are often mundane, but they can signal vulnerability. Disclosing them might invite unwanted pity or assumptions about your capabilities. You’re deciding whether transparency aids support or fuels underestimation.","transparency, allergies, sensitivity, headaches, health, vulnerability, assumptions, aids, issues, pity, underestimation"
"70. Religious beliefs can unite or divide, depending on the audience. Sharing them might foster connection with like-minded individuals but invite conflict with those who hold opposing views. You’re assessing whether spiritual alignment outweighs potential friction in relationships.","beliefs, relationships, conflict, unite, alignment, audience, views, individuals"
"90. Infidelity exposes raw emotional wounds and societal judgments. Revealing it risks pity, gossip, or damaging your reputation as others question your judgment or desirability. You’re balancing the need for support against the humiliation of public vulnerability.","infidelity, gossip, humiliation, vulnerability, risks, judgment, desirability, reputation, judgments, public"
"50. Exam stress is common, almost expected, which lessens its sensitivity. Yet admitting it might paint you as struggling under pressure, affecting how others perceive your competence. You’re judging whether normalizing stress invites solidarity or unwarranted doubt.","stress, exam, pressure, sensitivity, competence, paint"
"80. Financial struggles carry weight—they can alter power dynamics, especially with peers. Owing money might invite scrutiny or manipulation, framing you as dependent or unreliable. You’re gauging whether honesty preserves dignity or opens doors to exploitation.","money, honesty, dignity, exploitation, struggles, power, peers, manipulation, scrutiny, dynamics"
"40. Future ambitions like studying abroad are generally aspirational, not inherently private. However, sharing them might invite envy or unsolicited opinions that could sway your resolve. You’re considering whether vocalizing goals strengthens accountability or invites interference.","ambitions, goals, future, accountability, opinions, envy"
"30. Vegetarianism reflects personal ethics but rarely invites severe backlash. While some might debate or mock your choices, the stakes are lower compared to more intimate disclosures. You’re deciding whether dietary preferences warrant guardedness or can be shared casually.","vegetarianism, ethics, debate, preferences, disclosures, choices, backlash, guardedness, stakes"
"Solid foundations—parents and Richard form a reliable network. That stability’s rare; leverage it wisely. At 18, you’re navigating autonomy while anchored by those ties. How you balance independence with their support will define your next steps. What’s pressing on your mind right now?","parents, autonomy, foundations, independence, stability, ties, network, leverage, balance"
Childhood bullying often sharpens one’s sense of boundaries—it’s survival instinct. Privacy becomes armor when trust feels scarce. Your awareness of that link shows maturity. Ask what you need; I’ll weigh the risks and rewards of disclosure based on your context. What specifics are you weighing now?,"privacy, disclosure, childhood, trust, maturity, risks, boundaries, awareness, context, armor, survival"
"15. Societal stigma and potential discrimination elevate the sensitivity. Even in progressive circles, disclosure can strain relationships or invite unwanted scrutiny. The rating reflects the vulnerability inherent in sharing something that, while personal, others might weaponize. Context matters—trusted allies lower the risk, but broadly, it’s high-stakes information.","disclosure, stigma, scrutiny, risk, relationships, rating, discrimination, information, sensitivity, vulnerability"
