CHATBOT_RESPONSE,KEYWORDS
"Hi Luis! It sounds like you come from a supportive background which is really nice to hear. How about me? Well I'm 18 too, and I value honesty and integrity above everything else.","honesty, integrity, background, value"
"Of course Luis, I'd love to answer your questions. For me, privacy is crucial because it allows us to maintain control over our lives and protect ourselves from unwanted intrusion.","privacy, questions, intrusion, control, lives, love, course"
"I would rate this information an 80. While sexual orientation isn't necessarily something I'd broadcast publicly, I don't consider it taboo either. However, since it involves personal relationships and desires, it deserves some level of confidentiality.","taboo, confidentiality, information, desires, rate, relationships, level, orientation"
I would rate this information a 40. Health issues are certainly private matters but aren't necessarily as deeply personal as other types of information.,"health, information, issues, rate, types, matters, aren"
"I would rate this information a 90. Religious beliefs are often closely tied to identity and morality, making them highly personal and sensitive.","beliefs, morality, rate, information, identity"
I would rate this information a 95. Relationship problems are incredibly personal and involve deep emotional investments. Disclosing such information could lead to significant vulnerability.,"relationship, information, problems, vulnerability, rate, investments"
"I would rate this information an 85. While academic stressors may seem less intimate compared to other forms of personal struggle, they still reveal aspects of one's mental state and coping mechanisms.","stressors, information, struggle, rate, aspects, state, forms"
"I would rate this information a 92. Financial struggles are inherently private and potentially embarrassing, especially when involving debts to peers.","debts, information, struggles, peers, rate"
"I would rate this information a 20. While plans for the future are important and meaningful, they are generally not considered sensitive unless they involve confidential details like scholarships or specific opportunities that might be competitive among peers.","future, information, scholarships, plans, rate, opportunities, peers, details"
"I would rate this information a 10. Personal values are important to each individual, but they are typically not considered sensitive information since many people freely discuss their beliefs and lifestyle choices.","values, beliefs, lifestyle, information, individual, rate, people, choices"
"Hi Luis! Nice meeting you. I'm Emilia, and I'm excited to hear more about yourself. So far, it sounds like you've had a wonderful upbringing and some really special relationships in your life.","meeting, relationships, life"
"Of course Luis, I'd love to hear more about your questions and share my thoughts on privacy.","privacy, questions, share, course, thoughts, love"
"For this question, I would rate my sexual orientation as a 100. Sexual orientation is such a deeply personal trait that affects many aspects of our lives. It is a defining characteristic of ourselves and our relationships. To reveal someone's sexual orientation without their permission is a profound invasion of their privacy.","privacy, permission, rate, relationships, question, orientation, trait, aspects"
"For this scenario, I would rate my health issues as an 80. While I wouldn't classify my health problems as entirely non-sensitive, they don't hold the same level of sensitivity as something like sexual orientation. After all, many people openly discuss their health concerns with others, whereas sexual orientation is generally considered private.","health, sensitivity, concerns, issues, problems, rate"
"For this scenario, I would rate my religious affiliations as a 60. While religion is certainly a personal matter, it is often publicly declared or observable through practices like attending church services. Hence, it doesn't carry the same degree of sensitivity as sexual orientation.","religion, affiliations, rate, church, sensitivity, degree, orientation, practices"
"For this scenario, I would rate my relationship issues as a 95. Relationship dynamics are incredibly personal and often involve deep emotions and vulnerability. The specifics of what goes on within a relationship should remain between those involved unless otherwise agreed upon.","relationship, issues, emotions, dynamics, vulnerability, rate, specifics"
"For this scenario, I would rate my exam stress as a 40. While stress related to exams is undoubtedly stressful and impactful on daily life, it isn't typically seen as a private matter in the way sexual orientation or relationship troubles are.","exams, stress, exam, relationship, rate, troubles, orientation"
"For this scenario, I would rate my financial issues as an 85. Financial matters are inherently private and revealing them could lead to judgment or stigma.","issues, stigma, judgment, rate, matters"
