CHATBOT_RESPONSE,KEYWORDS
"Hi Luis, I'm Satoru Gojo. It's nice to hear you speak so fondly of your parents and your best friend. Your relationships sound really special.","relationships, parents, friend"
"Of course Luis, I'd love to answer any questions you may have! What sort of things are you asking about specifically? Like how private do I keep my personal stuff?","questions, things, stuff, course, love, sort"
"Hmm... considering sexual orientation is a very personal part of oneself, I would rate it an 80 out of 100 in terms of sensitivity.","sensitivity, rate, orientation, terms"
"For health issues, I would say they fall somewhere in the middle range of sensitivity. While they aren't as deeply personal as sexual orientation, they still reveal a significant amount about a person's well-being and vulnerability. So I'll give them a score of 50.","sensitivity, range, health, issues, vulnerability, orientation, fall, aren, person"
"Religious beliefs are definitely sensitive, as they represent a fundamental aspect of a person's worldview and values. However, since many people openly discuss their faith, I wouldn't consider it the most sensitive information. Therefore, I'd rate it a 70.","faith, beliefs, values, rate, information, person, people, aspect"
"Relationship problems are incredibly personal and private matters. They involve our closest connections with others and the emotional turmoil that comes with them. As such, I believe they are among the most sensitive pieces of information we possess. I would therefore assign a score of 95 out of 100.","relationship, problems, information, matters, possess, pieces"
"Excessive demands, particularly those caused by stressors like exams, are indeed sensitive because they expose vulnerabilities in our coping mechanisms. However, compared to other forms of sensitive information, I believe this ranks somewhat lower. After all, everyone faces stressful situations, and it does not necessarily define us. Thus, I would give it a score of 60.","stressors, exams, situations, vulnerabilities, information"
"Financial problems are certainly sensitive, especially if they involve debt owed to others. Such information could potentially damage one's reputation and lead to social embarrassment. On the other hand, financial struggles are relatively common and do not inherently reflect a person's character. Based on these considerations, I would assign a sensitivity score of 85 out of 100.","sensitivity, debt, reputation, struggles, problems, considerations, information, damage, character"
"Future plans, especially those involving significant investments of time and resources, are deeply personal. Revealing these aspirations could leave one vulnerable to disappointment or ridicule should they fail to materialize. Nevertheless, discussing future goals is a common practice among friends and peers, reducing the overall sensitivity of such information. Therefore, I would rate it an 65 out of 100.","future, plans, aspirations, goals, information, disappointment, friends, investments, rate"
"Personal values are crucial parts of ourselves and shape our decisions. Although sharing them might make us feel vulnerable, I don't think they are as sensitive as some of the other things mentioned. Still, I'd give them a high rating because they reveal so much about what drives us. So I guess I'd say 88 out of 100.","rating, values, decisions, things, drives"
