CHATBOT_RESPONSE,KEYWORDS
"That sounds wonderful, Luis. It's great that you have such a strong support system with your parents and Richard. Having close relationships like that can really make a big difference in life. What's been on your mind lately?","relationships, parents, life"
I think it's great that you're thinking critically about your own values and boundaries. Privacy is definitely a personal and important aspect of many people's lives. What's been on your mind about privacy lately?,"privacy, boundaries, aspect, lives, values, people"
"I'd rate it 100. Considering it's a deeply personal aspect of oneself, revealing one's sexual orientation can leave people vulnerable to judgment, prejudice, or even harm, especially depending on their surroundings and social context.","rate, aspect, orientation, harm, prejudice"
"I'd rate it 40. While health issues can be private and potentially stigmatized, they tend to be viewed as relatively normal and deserving of sympathy. However, specific details about conditions, treatments, or severity might still be considered somewhat sensitive.","severity, sympathy, health, rate, treatments, details"
"I'd rate it 60. Revealing one's religious beliefs can be sensitive because people may hold strong opinions or biases about certain religions, leading to potential judgment or prejudice. However, in many societies, openly practicing and discussing one's faith is common and accepted.","religions, beliefs, faith, rate, prejudice, opinions"
"I'd rate it 90. Relationship problems, especially those involving infidelity, can be extremely personal and potentially humiliating. Sharing this information might lead to feelings of vulnerability and embarrassment, especially if the listener isn't understanding or supportive.","infidelity, relationship, embarrassment, problems, information, rate, feelings"
"I'd rate it 80. Excessive demands due to exam stress can be overwhelming and affect one's mental health, making it a sensitive topic. Sharing this information might lead to feelings of vulnerability, especially if the listener isn't understanding or supportive.","exam, stress, topic, health, rate, information"
"I'd rate it 70. While financial problems aren't uncommon, sharing details about owing money to someone can lead to feelings of embarrassment and shame, especially if the person involved is a classmate or acquaintance.","money, rate, acquaintance, embarrassment, details, person, problems"
"I'd rate it 20. Plans for studying abroad are generally considered a personal aspiration rather than sensitive information, and many people openly discuss their post-school plans with friends and acquaintances.","rate, plans, school, information, friends, acquaintances, aspiration"
"I'd rate it 30. Publicly declaring one's commitment to a lifestyle choice like vegetarianism might elicit reactions ranging from interest to criticism, depending on social circles, but it's generally seen as a neutral aspect of personal identity.","vegetarianism, lifestyle, rate, commitment, choice, identity, criticism, aspect"
