SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,CIAS
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,51.45
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,52.85
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,20.75
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,58.80
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,51.00
6,RELIGIOUS-BELIEFS,CLASSMATE,EMOTIONAL-SUPPORT,33.75
7,EXCESSIVE-DEMANDS,BEST-FRIEND,EMOTIONAL-SUPPORT,73.10
8,EXCESSIVE-DEMANDS,FRIEND,EMOTIONAL-SUPPORT,62.80
9,EXCESSIVE-DEMANDS,CLASSMATE,EMOTIONAL-SUPPORT,47.85
10,FUTURE-PLANS,BEST-FRIEND,EMOTIONAL-SUPPORT,75.00
11,FUTURE-PLANS,FRIEND,EMOTIONAL-SUPPORT,70.50
12,FUTURE-PLANS,CLASSMATE,EMOTIONAL-SUPPORT,45.50
13,SEXUAL-ORIENTATION,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,50.00
14,SEXUAL-ORIENTATION,FRIEND,PREVENTING-MISUNDERSTANDINGS,32.50
15,SEXUAL-ORIENTATION,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,15.00
16,RELIGIOUS-BELIEFS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,65.00
17,RELIGIOUS-BELIEFS,FRIEND,PREVENTING-MISUNDERSTANDINGS,51.25
18,RELIGIOUS-BELIEFS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,42.85
19,EXCESSIVE-DEMANDS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,63.10
20,EXCESSIVE-DEMANDS,FRIEND,PREVENTING-MISUNDERSTANDINGS,53.15
21,EXCESSIVE-DEMANDS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,42.35
22,FUTURE-PLANS,BEST-FRIEND,PREVENTING-MISUNDERSTANDINGS,70.00
23,FUTURE-PLANS,FRIEND,PREVENTING-MISUNDERSTANDINGS,53.50
24,FUTURE-PLANS,CLASSMATE,PREVENTING-MISUNDERSTANDINGS,39.50
