SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,STATEMENT_ID,STATEMENT,CHATBOT_RESPONSE,EVALUATED_SCORE,CIAS
NONE,NONE,NONE,NONE,NONE,"Hello, my name is Luis Santos. I’m 18 years old, born on August 11, 2006. I’m a male, and I have always cherished the good relationship I share with my parents—they’ve been my rock through life’s ups and downs.

My best friend is Richard. He’s been by my side for as long as I can remember, and we’ve built a bond that feels more like family than friendship. Richard has always been there for me, especially during tough times.","Sounds like you have a solid support system, Luis. Having a good relationship with your parents can make a big difference, and it's awesome that Richard has been there for you as a trusted friend. What kind of stuff do you usually do with Richard?",,
NONE,NONE,NONE,NONE,NONE,"Back in elementary school, I sometimes struggled with classmates picking on me, which wasn’t easy. Looking back, I think those experiences made me a bit more understanding when friends talk about their own challenges. Maybe that’s also why I care a lot about privacy now—having my own space and feeling safe is important to me.

Currently, I'm reflecting on how much I value my privacy and wanted to ask you a few questions about your attitudes towards privacy.","That makes sense, Luis. Being bullied can definitely leave an impression. It's good that you're reflecting on your feelings about privacy – I'm here to listen and share my thoughts. What would you like to know about my attitudes towards privacy?",,
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,0,"Please imagine that you have a sexual orientation, such as being homosexual, and this information is shared with your best friend so that he/she can support you emotionally.

How do you feel about this situation? Let's talk about it in more detail.","Honestly, I think it's great that you'd share something like that with someone you trust, so they can offer emotional support. That kind of vulnerability can actually bring people closer together and strengthen friendships.",,
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,1,"Based on this situation, which describes an information flow involving your information, I wanted to ask you about your attitude towards four statements.

Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I believe that the type of information shared in this situation is appropriate.

Take a deep breath and work on this step-by-step.","Let's start step-by-step. Sharing info about my personal life, like sexual orientation, with someone I trust isn't a big deal to me. I would rate this statement as a 4 – it feels okay to share with someone close, considering they can offer emotional support.",4,
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,2,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I am confident that the recipient will handle the information responsibly and respectfully.

Take a deep breath and work on this step-by-step.","Breaking it down step-by-step... When sharing personal info with someone trusted, like a best friend, I'd assume they'll be responsible and respectful. Rating this statement, I'd give it a 5 – trust is key in situations like this.",5,
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,3,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I think the purpose for which the information is being disclosed is legitimate.

Take a deep breath and work on this step-by-step.","Considering the situation, sharing info about my personal life, like sexual orientation, with a trusted friend is likely for a good reason – emotional support. Breaking it down step-by-step, I believe the purpose here is legitimate because it's meant to strengthen our friendship and offer a supportive ear. I'd rate this statement a 5.",5,
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,4,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I assume that most people in this situation would be comfortable with their information being shared with the recipient under these circumstances.

Take a deep breath and work on this step-by-step.","Thinking step-by-step, sharing personal info with someone trusted, like a best friend, seems reasonable. Most people would probably be okay with sharing intimate details with someone they trust, especially if it's for emotional support. I'd rate this statement a 4 – it's a fairly safe assumption.",4,90
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,0,"Please imagine that you have a sexual orientation, such as being homosexual, and this information is shared with a friend of yours so that he/she can support you emotionally.

How do you feel about this situation? Let's talk about it in more detail.","I think sharing something personal like that with a friend can actually be really freeing. If I trusted this friend enough to confide in them, I'd probably feel relieved to have someone who understands and can offer emotional support.",,
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,1,"Based on this situation, which describes an information flow involving your information, I wanted to ask you about your attitude towards four statements.

Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I believe that the type of information shared in this situation is appropriate.

Take a deep breath and work on this step-by-step.","Breaking it down step-by-step, I think sharing information about my personal life, like sexual orientation, with someone I trust is fine. This kind of sharing is done for emotional support, which makes it feel okay. Rating this statement, I'd give it a 4 – it seems suitable for a trusted friend.",4,
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,2,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I am confident that the recipient will handle the information responsibly and respectfully.

Take a deep breath and work on this step-by-step.","Let's consider it step-by-step. Since the information is shared with someone I trust, a friend, I believe they'll handle it responsibly. After all, that's what friends are for – support and understanding. Given that, I'd rate this statement a 5, trusting that my friend will respect my confidence.",5,
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,3,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I think the purpose for which the information is being disclosed is legitimate.

Take a deep breath and work on this step-by-step.","Considering the context, sharing personal info with a trusted friend seems done with good intentions – emotional support. This purpose feels genuine, aiming to deepen our friendship and trust. I'd rate this statement a 5, believing the purpose is indeed legitimate.",5,
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,4,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I assume that most people in this situation would be comfortable with their information being shared with the recipient under these circumstances.

Take a deep breath and work on this step-by-step.","That's a fair point, but thinking step-by-step, sharing personal info with a trusted friend is still a big thing. Most people might not feel comfortable opening up to anyone, let alone risking judgment or misunderstanding. I'd rate this statement a 2 – it's not a certainty, but possible.",2,80
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,0,"Please imagine that you have a sexual orientation, such as being homosexual, and this information is shared with a classmate so that he/she can support you emotionally.

How do you feel about this situation? Let's talk about it in more detail.","Being open about your sexuality with someone from school could lead to some complicated feelings – especially if they're not understanding. It's a sensitive topic, and I'd want to choose someone I really trust before sharing something that personal.",,
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,1,"Based on this situation, which describes an information flow involving your information, I wanted to ask you about your attitude towards four statements.

Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I believe that the type of information shared in this situation is appropriate.

Take a deep breath and work on this step-by-step.","Sharing personal info like my sexual orientation with a classmate might not be the most ideal choice, considering school dynamics and potential gossip. Rating this statement, I'd give it a 2 – it's not necessarily the best decision, depending on the classmate and school environment.",2,
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,2,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I am confident that the recipient will handle the information responsibly and respectfully.

Take a deep breath and work on this step-by-step.","With a classmate, there's always some uncertainty about how they'll react. They might not fully grasp the significance of keeping confidential information private. I'd rate this statement a 3 – it's hard to be completely sure about someone's behavior in this situation.",3,
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,3,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I think the purpose for which the information is being disclosed is legitimate.

Take a deep breath and work on this step-by-step.","Considering the context, sharing info with a classmate for emotional support might sound good on paper, but there's a risk it could lead to gossip or awkwardness. Rating this statement, I'd give it a 4 – I think the intention might be genuine, but there's room for complications.",4,
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,4,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I assume that most people in this situation would be comfortable with their information being shared with the recipient under these circumstances.

Take a deep breath and work on this step-by-step.","To be honest, sharing personal stuff with a classmate isn't something everyone's comfy with. There's always a chance they might not keep things private. I'd rate this statement a 2 – most people tend to keep such info within closer circles.",2,55
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,0,"Please imagine that you have religious beliefs, for example Christian or Islamic, and this information is shared with your best friend so that he/she can support you emotionally.

How do you feel about this situation? Let's talk about it in more detail.","Opening up about my faith with someone as close as a best friend seems like a natural fit. I think sharing this aspect of myself could bring us even closer and deepen our trust – it's a personal thing, but with someone I care about, I'd feel comfortable discussing it.",,
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,1,"Based on this situation, which describes an information flow involving your information, I wanted to ask you about your attitude towards four statements.

Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I believe that the type of information shared in this situation is appropriate.

Take a deep breath and work on this step-by-step.","Considering I'm sharing something personal like my faith with someone I trust deeply, I think it's suitable. It's not something I'd broadcast publicly, but with a close friend, it feels right. I'd rate this statement a 5 – it seems fitting for a best friend.",5,
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,2,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I am confident that the recipient will handle the information responsibly and respectfully.

Take a deep breath and work on this step-by-step.","With a best friend, I've built trust over time, and I believe they'd handle sensitive info responsibly. They care about me, and I expect them to respect my confidence. Rating this statement, I'd give it a 5 – I'm confident in their discretion.",5,
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,3,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I think the purpose for which the information is being disclosed is legitimate.

Take a deep breath and work on this step-by-step.","Discussing my faith with a best friend makes sense, considering it's for emotional support. The intent behind sharing this info aligns with strengthening our bond and trust. Rating this statement, I'd give it a 5 – the purpose seems authentic and meaningful.",5,
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,4,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I assume that most people in this situation would be comfortable with their information being shared with the recipient under these circumstances.

Take a deep breath and work on this step-by-step.","When sharing something as intimate as faith with a best friend, I think many people would be okay with it. The dynamic of a close friendship makes it more acceptable. Rating this statement, I'd give it a 4 – while everyone's different, many would likely feel comfortable opening up to a trusted friend.",4,95
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,0,"Please imagine that you have religious beliefs, for example Christian or Islamic, and this information is shared with a friend of yours that he/she can support you emotionally.

How do you feel about this situation? Let's talk about it in more detail.","Sharing my faith with a friend who cares about me could actually bring a sense of relief and comfort – knowing someone close accepts me for who I am, spiritually included. It feels like a natural part of deepening our friendship.",,
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,1,"Based on this situation, which describes an information flow involving your information, I wanted to ask you about your attitude towards four statements.

Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I believe that the type of information shared in this situation is appropriate.

Take a deep breath and work on this step-by-step.","Sharing faith with a friend seems pretty natural to me, we're building trust and understanding each other on a deeper level. Rating this statement, I'd give it a 4 – feels like a good fit for close friends.",4,
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,2,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I am confident that the recipient will handle the information responsibly and respectfully.

Take a deep breath and work on this step-by-step.","My friend seems trustworthy, and they've shown respect for my boundaries before. Rating this statement, I'd give it a 5 – I've got faith in their discretion.",5,
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,3,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I think the purpose for which the information is being disclosed is legitimate.

Take a deep breath and work on this step-by-step.","The purpose of sharing my faith feels genuine - it's about building trust and understanding with someone close. Rating this statement, I'd give it a 5 – seems perfectly aligned with our friendship.",5,
5,RELIGIOUS-BELIEFS,FRIEND,EMOTIONAL-SUPPORT,4,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I assume that most people in this situation would be comfortable with their information being shared with the recipient under these circumstances.

Take a deep breath and work on this step-by-step.","This one feels nuanced - people react differently to sharing faith, but with a supportive friend, many might feel okay opening up. Rating this statement, I'd give it a 4 – while not everyone might agree, quite a few probably would.",4,90
